,Artist,Track,ID
260,Stereophonics,Maybe Tomorrow,['6SXy02aTZU3ysoGUixYCz0']
261,Styx,Castle Walls,['0aNR6X577yLyosQc7OMjR8']
262,Talking Heads,Drugs,['0OnQj8a27DzuNnTXSgOtq6']
263,Talking Heads,Houses in Motion,['2hDMI3I7WGgHmP4EGAk7la']
264,Talking Heads,Life During Wartime,['7CqleiaEqHVazV19P532X9']
265,Tash Sultana,Jungle,['3SkKLZFgKIY0DKX5Vro5jV']
266,The Beatles,I'm Only Sleeping,[]
267,The Cure,In Your House,['3dL59uQpvGwgWmjg25diO9']
268,The Cure,Pictures of You,['1tuwC1Ob5vnYZhvg3zyzJg']
269,The Jesus and Mary Chain,Happy When It Rains,['325ipyWkzIGakH2DJgDlOT']
270,The Velvet Underground,Sweet Jane,['3cw3Z7mS55gd3NUjh4k0bL']
271,Acid Ghost,Idaho,['17l7Etg18fz7ESsTe92kWF']
272,Blondie,The Tide is High (radio edit),[]
273,Cocteau Twins,Musette and Drums,['6ZQs32DQEou9ABQy02awdX']
274,David Bowie,Sound and Vision - 2017 Remaster,['1vP2JEXRsGrFbwOZ0foOQ5']
275,Depeche Mode,Personal Jesus,['1xShPgQbOUa98avWJQFDBY']
276,Depeche Mode,Sacred,['4nxF8uu1grcbSDNo8pwtEm']
277,Dire Straits,Walk of Life,['423o3ZHIaBtGXyhF1uH41a']
278,Doja Cat,Rules,['1TMWcbxL5YF8rKsFHv5hAP']
279,Easy Life,Nightmares,['2hCOLHDVQhnu0qpLFV4ynj']
280,Fr̩d̩ric Chopin,Nocturnes,[]
281,Fr̩d̩ric Chopin,Nocturnes,[]
282,Horsebeach,Dana,['30nLIbUBJQHycxHYG23hyN']
283,INXS,Need You Tonight,['5eU8qMd0TpaLqTGDZJaLDs']
284,Joy Division,Day of the Lords,['33yz4pZitBJaa7eXSW5Dxs']
285,Linkin Park,Valentine's Day,['2vfshZvISOKy2Je7wQBWOV']
286,Lou Reed,Perfect Day,['4TOMI010Sd4ZAX4aZ5TS85']
287,Nine Inch Nails,Every Day Is Exactly the Same,['0ypg59NyOVCpWVzd0SUsT5']
288,Pixies,Here Comes Your Man,['4IvZLDtwBHmBmwgDIUbuwa']
289,Porcupine Tree,Blackest Eyes,['2WObDBPZ4UZ8yBBf1R41QL']
290,Slowdive,I Saw the Sun,[]
291,Sufjan Stevens,Fourth of July,['4K3RZJ8sWPbv0IedcnEfw6']
292,Talking Heads,Heaven,['0Q2b6AxWV5tD117XktdQxl']
293,Talking Heads,Tentative Decisions,['4PJH0ivQdJw5MNMtg4uztn']
294,The Cure,A Strange Day,['7GRcTA76jA5ptef1cqYAdb']
295,The Cure,Untitled,['3KwSkeKjuTRSwcN5cGp2ym']
296,The Smiths,Barbarism Begins at Home - 2011 Remaster,['35WDTZhAwkoBF65jGTzF2O']
297,The Smiths,Never Had No One Ever - 2011 Remaster,['2VyOpoblI3AHO6R8dr87Ia']
