,Artist,Track,ID,energy,acousticness,valence,danceability,tempo
153,Guster,Satellite,14j4diRlUSWvbq5t0rgR6b,0.747,0.00348,0.644,0.545,131.931
154,Horsebeach,Yesterdays,36MzGIPpgzFChpr3SSLnyz,0.794,2.84e-06,0.806,0.56,122.607
155,Joy Division,Digital,1Bq65xKgu0kjSUMUlfWyPl,0.849,0.0202,0.65,0.496,153.724
156,Joy Division,Disorder - 2007 Remaster,5fbQCQt91LsVgXusFS0CCD,0.798,0.00033,0.74,0.32,84.696
157,Joy Division,Interzone,7Lvzb4qljzlv5Z5DlAllN8,0.782,0.000126,0.746,0.477,156.34
158,Joy Division,New Dawn Fades - 2007 Remaster,5EabbLQZbdhCqG6aK9PFLU,0.525,0.00236,0.258,0.387,78.339
159,Le couleur,Femme,28vmQszxW4jgxwVos3SKkh,0.57,0.002,0.784,0.792,117.991
160,Linkin Park,What I've Done,18lR4BzEs7e3qzc0KVkTpU,0.93,0.0141,0.287,0.623,120.119
161,Mac DeMarco,Chamber of Reflection,1MJ5f5EYBC92ADD6xcz7nb,0.558,0.263,0.505,0.537,131.037
162,Nirvana,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,0.641,0.199,0.382,0.256,203.006
163,Pixies,Hey,0p5eZCY0R7uNCZS1YDtIYI,0.372,0.00105,0.306,0.59,99.887
164,Radiohead,Knives Out,521OhfIeThXJKiTyz0m883,0.675,0.091,0.184,0.432,137.262
165,Radiohead,The Butcher,3djJOGMiyy5Bg0hKcorLXk,0.569,0.255,0.703,0.83,118.664
166,Ruby Haunt,Destroyer,2OildL2Y6y3FPfKIkoDqBC,0.626,0.423,0.297,0.5,133.059
167,Slowdive,Brighter,4fEEDBLpvZJRLpshxJbYq1,0.595,0.000214,0.177,0.118,150.28
168,Slowdive,Machine Gun,1wXJjKJy5Pt38Bu3tUzTUL,0.486,0.162,0.0545,0.181,154.573
169,Sports,Panama,6keyBQK6pA0OApRfM1f0dp,0.724,0.298,0.45,0.615,97.725
170,Talking Heads,Once in a Lifetime,38Ngied9rBORlAbLYNCl4k,0.919,0.181,0.871,0.644,117.459
171,Talking Heads,Seen and Not Seen,58uyNQ2aC329uLMZpU9Ptz,0.748,0.111,0.787,0.771,98.183
172,The Beatles,While My Guitar Gently Weeps,389QX9Q1eUOEZ19vtzzI9O,0.654,0.0205,0.702,0.453,115.0
173,The Cure,Plainsong,76rfUs6iZBa3OCf8tCBn27,0.428,0.00451,0.125,0.361,86.884
174,The Cure,Siamese Twins,3x6F5xwseHgXIjptORmGAI,0.523,0.000298,0.752,0.772,94.194
175,The Growlers,Magnificent Sadness,4paKu2xisZrB6H5Kd5uU9e,0.717,0.00751,0.471,0.574,120.049
176,The Jesus and Mary Chain,April Skies,7hs0Q5T9oyYMuGg4EQZenj,0.717,0.00417,0.589,0.545,118.515
177,The Velvet Underground,Who Loves The Sun,1rJi8cf8OWsrX4CqBnMSoQ,0.568,0.326,0.721,0.441,130.131
178,Two People,Look At Each Other,14cvKMcnEYlBeneaDmKOp1,0.57,0.663,0.19,0.517,125.025
179,Alice in Chains,Rooster,0wvIGFIgbyz4JNwQhZgTv2,0.551,0.0307,0.202,0.269,144.408
180,Charli XCX,Dreamer,7Coulic7di20MlW1bEytkQ,0.626,0.0298,0.297,0.582,139.912
181,Echo & the Bunnymen,Higher Hell,3UnmqZVtIz69xBQzqqoqw8,0.697,0.000517,0.287,0.512,131.722
182,FrÃ©dÃ©ric Chopin,Nocturnes,,,,,,
183,Horsebeach,Let You Down,56KL8QVF1s2D6Y1q1AkEmO,0.714,0.000231,0.399,0.448,156.091
184,Horsebeach,Midnight,7lkhuziib3QroIC7ZxsVP7,0.403,0.879,0.387,0.641,89.03
185,Joy Division,Day of the Lords - 2007 Remaster,33yz4pZitBJaa7eXSW5Dxs,0.599,1.9e-05,0.113,0.317,124.492
186,Linkin Park,By Myself,6UzeOH4bRPzKTo2wCXMZmC,0.935,0.0171,0.339,0.544,103.026
187,Linkin Park,Pushing Me Away,1gAaRSN57UYVRI4eWRyAvP,0.913,0.000391,0.279,0.484,103.103
188,Pearl Jam,Yellow Ledbetter,3bE5slaVEfaDreqARl6k4M,0.354,0.29,0.292,0.504,140.87
189,Placebo,Without You I'm Nothing,0HCLFxsxnpBXSpU0XjvPa1,0.607,0.000294,0.189,0.255,133.431
190,Radiohead,Subterranean Homesick Alien,2CVV8PtUYYsux8XOzWkCP0,0.595,0.0484,0.337,0.312,150.502
191,Rage Against the Machine,Fistful of Steel,67qdozSgFFHL6VGW85KmtD,0.827,0.0191,0.585,0.529,155.529
192,Sports,Someone You'd Rather Be Dating,0BOEQSwb5TocHUSM5w9j6a,0.534,0.304,0.723,0.713,112.099
193,Styx,Crystal Ball,7ETHRr9BsppwaOheN4vJkH,0.419,0.188,0.343,0.407,79.33
194,Talk Talk,Renee,5UUk3itO5nvah4Ngd9CW5X,0.219,0.174,0.233,0.611,86.471
195,Talk Talk,Such a Shame,6zajKxvei3b3xmXNRLGJbR,0.68,0.209,0.708,0.598,112.067
196,The Mamas & the Papas,I Call Your Name,46RVIZHY0PgIHT4Wbj1Swr,0.43,0.823,0.621,0.408,107.455
197,The Verve,Weeping Willow,5MFO9lwRDQy2Z85AvdwsL3,0.749,0.00878,0.459,0.323,152.087
198,Two People,I'm Tied,,,,,,
199,Barrie,Tal Uno,7eXDhsMpOFdsJWauZgq9qv,0.623,0.0606,0.421,0.533,109.994
200,Dua Lipa,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,0.729,0.167,0.467,0.73,113.013
201,Dua Lipa,Pretty Please,6DXZiYUbrYgrVIhfX3U9Z2,0.474,0.0311,0.656,0.906,106.976
202,Joy Division,She's Lost Control - 2007 Remaster,0rcLhYRihks3t4lFPtHhQV,0.846,0.0157,0.743,0.485,144.246
203,Linkin Park,Easier to Run,388kF2viiv8i9aEWIThyGT,0.861,0.0624,0.279,0.545,105.017
204,Mac DeMarco,One More Love Song,6l91G5h57AW47LDPMuJSST,0.322,0.77,0.518,0.693,141.042
205,Oasis,Wonderwall,1qPbGZqppFwLwcBC1JQ6Vr,0.854,0.00236,0.456,0.41,174.584
206,Porcupine Tree,The Start of Something Beautiful,0cvUHzX1zEGG7bJ0fI2H7u,0.594,0.00997,0.226,0.536,159.995
207,Radiohead,Karma Police,63OQupATfueTdZMWTxW03A,0.501,0.0638,0.324,0.36,74.807
208,Simon & Garfunkel,A Hazy Shade of Winter,2GB8OypbvrvCee61FKx5dp,0.59,0.139,0.969,0.497,142.027
209,Sunforest,Where Are You,,,,,,
210,Swimming Tapes,Cameos,3p1UgnbP4UE6UsQwB2GvYO,0.687,0.00791,0.792,0.561,128.569
211,Talk Talk,Have You Heard the News?,06HjuPU7sr8NF2jSqqq5DG,0.76,0.0532,0.64,0.584,105.863
212,Talk Talk,Life's What You Make It,2iWTHXaFtRSMhd5OLpYD7f,0.804,0.00367,0.935,0.525,91.951
213,Talk Talk,The Party's Over,51okCat2x9GxNUH5tuJ4ej,0.931,0.00827,0.626,0.597,117.051
214,The Beatles,Sun King,4nwKdZID1ht0lDBJ5h2p87,0.177,0.284,0.192,0.483,74.994
215,The Cure,Seventeen Seconds,3zkLeCkHfEBOi9BEEo2ChF,0.274,0.224,0.636,0.683,111.501
216,The Growlers,Chinese Fountain,7enjtIF2C6Djd6M83DxwN8,0.805,0.00317,0.858,0.607,116.026
217,The MarÃ­as,CariÃ±o,,,,,,
218,Toto,Hold the Line,4aVuWgvD0X63hcOCnZtNFA,0.898,0.00783,0.808,0.473,96.556
219,Blur,Sing,7d1dGY0j55oqOmJFAdmQlR,0.658,0.0232,0.506,0.375,148.051
220,Dua Lipa,Don't Start Now,7cYNQkJoyHVhP8Drb2n6d5,0.588,0.00168,0.673,0.726,114.988
221,Greta Van Fleet,Highway Tune,7aOor99o8NNLZYElOXlBG1,0.962,0.0096,0.506,0.582,123.971
222,Joy Division,Candidate,7fFTRgP7x9rsGPIvnfkthJ,0.27,0.0117,0.227,0.586,134.819
223,Joy Division,Candidate - 2007 Remaster,7fFTRgP7x9rsGPIvnfkthJ,0.27,0.0117,0.227,0.586,134.819
224,Joy Division,Isolation - 2007 Remaster,1UWbBFaZNksb3AmgldkprR,0.783,0.048,0.697,0.544,151.522
225,Joy Division,Shadowplay - 2007 Remaster,4ZuC5MfGjRQs3pZtPxqMYP,0.756,0.000997,0.117,0.433,145.443
226,Mac DeMarco,Blue Boy,1CKm95B5JmaSCnZLquInM4,0.793,0.444,0.603,0.489,81.326
227,Neil Young,Harvest Moon,5l9c6bJmzvftumhz4TMPgk,0.309,0.526,0.407,0.648,112.929
228,richard twice,If I Knew You Were The One,,,,,,
229,Scorpions,Evening Wind,4SnA0nbgsQ8jIjhkCIO18r,0.431,0.0274,0.134,0.243,129.464
230,Slowdive,Some Velvet Morning,3aRD5hO4awWi2IEpTgLzSa,0.549,0.00927,0.234,0.068,65.952
231,Talk Talk,Mirror Man,1f3W0sebZPEHxlHepqlUek,0.671,0.153,0.723,0.698,108.668
232,Talking Heads,Electric Guitar,6MbNpfq2PhDtyD0PwlTWew,0.599,0.244,0.707,0.639,84.567
233,The Cure,All Cats Are Grey,2ivExgZt9Inzro5wa4yAYy,0.455,0.233,0.354,0.64,110.114
234,The Cure,Play for Today,1PnQ1sK77wMXagGDhwfBdY,0.839,0.0364,0.855,0.676,80.417
235,The Growlers,Dull Boy,3qyUCcBTnuKSES6x6ExH32,0.68,0.00109,0.798,0.62,104.938
236,The Mamas & the Papas,Hey Girl,4bY7Za16KfbZsCFxDo5Xfg,0.517,0.19,0.893,0.787,113.664
237,The Rolling Stones,Gimme Shelter,6H3kDe7CGoWYBabAeVWGiD,0.63,0.447,0.489,0.634,118.628
238,Weyes Blood,Andromeda,51EMSRpNm9Rg5rGViVCczv,0.461,0.368,0.188,0.467,131.325
239,Weyes Blood,Wild Time,5V25JNAs17PQ3dJfmMIqSG,0.423,0.551,0.233,0.382,141.359
240,Ariana Grande,breathin,4OafepJy2teCjYJbvFE60J,0.656,0.0211,0.364,0.568,100.049
241,Ariana Grande,Touch It (Hal Incandenza Remix),,,,,,
242,Barrie,Canyons,7K437a0HWYZhSoDmAsE10T,0.696,0.404,0.68,0.642,99.996
243,Coldplay,We Never Change,5TB6QgrF0RPIxSCGfRDLoe,0.288,0.535,0.131,0.433,136.939
