,Artist,Track,ID,energy,acousticness,valence,danceability,tempo,Genre
248,Talking Heads,Drugs,0OnQj8a27DzuNnTXSgOtq6,0.382,0.19,0.312,0.58,94.37200000000001,new wave
249,Talking Heads,Houses in Motion,2hDMI3I7WGgHmP4EGAk7la,0.763,0.677,0.963,0.7440000000000001,101.838,new wave
250,Talking Heads,Life During Wartime,7CqleiaEqHVazV19P532X9,0.93,0.0806,0.9670000000000001,0.8009999999999999,133.255,new wave
251,Tash Sultana,Jungle,3SkKLZFgKIY0DKX5Vro5jV,0.6970000000000001,0.26899999999999996,0.49700000000000005,0.59,146.059,first
252,The Cure,In Your House,3dL59uQpvGwgWmjg25diO9,0.366,0.276,0.9790000000000001,0.888,104.73100000000001,post-punk
253,The Cure,Pictures of You,1tuwC1Ob5vnYZhvg3zyzJg,0.7759999999999999,0.00371,0.495,0.484,171.935,80s
254,The Jesus and Mary Chain,Happy When It Rains,325ipyWkzIGakH2DJgDlOT,0.84,0.0005639999999999999,0.732,0.499,125.319,post-punk
255,The Velvet Underground,Sweet Jane,3cw3Z7mS55gd3NUjh4k0bL,0.637,0.015,0.9359999999999999,0.619,105.205,rock
257,Cocteau Twins,Musette and Drums,6ZQs32DQEou9ABQy02awdX,0.95,3.73e-05,0.0444,0.341,101.742,shoegaze
258,David Bowie,Sound and Vision - 2017 Remaster,1vP2JEXRsGrFbwOZ0foOQ5,0.804,0.0328,0.759,0.667,105.79700000000001,70s
259,Depeche Mode,Personal Jesus,1xShPgQbOUa98avWJQFDBY,0.682,0.0112,0.7140000000000001,0.637,129.983,80s
260,Depeche Mode,Sacred,4nxF8uu1grcbSDNo8pwtEm,0.805,0.294,0.685,0.667,120.917,synthpop
261,Dire Straits,Walk of Life,423o3ZHIaBtGXyhF1uH41a,0.9359999999999999,0.435,0.804,0.461,172.40400000000002,classic rock
262,Doja Cat,Rules,1TMWcbxL5YF8rKsFHv5hAP,0.7240000000000001,0.171,0.6970000000000001,0.664,144.05200000000002,rap
263,Easy Life,Nightmares,2hCOLHDVQhnu0qpLFV4ynj,0.6559999999999999,0.187,0.667,0.6629999999999999,88.973,horns
265,INXS,Need You Tonight,5eU8qMd0TpaLqTGDZJaLDs,0.723,0.0713,0.883,0.8009999999999999,109.03,80s
266,Joy Division,Day of the Lords,33yz4pZitBJaa7eXSW5Dxs,0.599,1.9e-05,0.113,0.317,124.492,post-punk
267,Linkin Park,Valentine's Day,2vfshZvISOKy2Je7wQBWOV,0.66,0.0252,0.41200000000000003,0.654,108.039,rock
268,Lou Reed,Perfect Day,4TOMI010Sd4ZAX4aZ5TS85,0.267,0.7440000000000001,0.0872,0.4,144.799,classic rock
269,Nine Inch Nails,Every Day Is Exactly the Same,0ypg59NyOVCpWVzd0SUsT5,0.941,0.0217,0.414,0.607,144.04,industrial
270,Pixies,Here Comes Your Man,4IvZLDtwBHmBmwgDIUbuwa,0.795,0.00772,0.882,0.669,124.594,alternative
271,Porcupine Tree,Blackest Eyes,2WObDBPZ4UZ8yBBf1R41QL,0.845,0.0013800000000000002,0.13699999999999998,0.498,95.175,Progressive rock
272,Sufjan Stevens,Fourth of July,4K3RZJ8sWPbv0IedcnEfw6,0.10400000000000001,0.973,0.156,0.441,120.266,folk
273,Talking Heads,Heaven,0Q2b6AxWV5tD117XktdQxl,0.35700000000000004,0.8490000000000001,0.14800000000000002,0.612,107.12899999999999,new wave
274,Talking Heads,Tentative Decisions,4PJH0ivQdJw5MNMtg4uztn,0.54,0.0606,0.905,0.748,120.00399999999999,new wave
275,The Cure,A Strange Day,7GRcTA76jA5ptef1cqYAdb,0.9640000000000001,0.000109,0.564,0.603,112.79799999999999,post-punk
276,The Cure,Untitled,3KwSkeKjuTRSwcN5cGp2ym,0.6890000000000001,0.5710000000000001,0.182,0.665,95.04799999999999,new wave
278,The Smiths,Never Had No One Ever - 2011 Remaster,2VyOpoblI3AHO6R8dr87Ia,0.535,0.0679,0.336,0.27,194.625,80s
279,Weyes Blood,A Lot's Gonna Change,5qspeKX1xBacLJMm2t3Yc0,0.342,0.635,0.0997,0.222,140.05700000000002,chamber pop
281,Cocteau Twins,When Mama Was Moth,51zLiDo0u9xsbVXvUxBf7n,0.502,0.00011200000000000001,0.0477,0.17,115.925,ethereal
282,Coldplay,Speed of Sound,7clUVcSOtkNWa58Gw5RfD4,0.898,0.00488,0.353,0.514,123.06700000000001,rock
283,Echo & the Bunnymen,Clay,6nSmaZlqlwJjgCtJbsVdhE,0.9009999999999999,0.11,0.43799999999999994,0.307,156.96,post-punk
284,Echo & the Bunnymen,Porcupine,2Fb4L9ynq0ywvpyALxbxbU,0.762,0.0017699999999999999,0.39399999999999996,0.473,121.537,post-punk
285,Echo & the Bunnymen,The Disease,3xz9fLCEwHJpWJdiwfy2wz,0.42100000000000004,0.769,0.401,0.49200000000000005,118.48299999999999,post-punk
286,Franz Ferdinand,Evil Eye,6NlE71TbUglmKQVLhE1H8R,0.815,0.0148,0.8190000000000001,0.7020000000000001,110.96799999999999,indie rock
287,Franz Ferdinand,Love Illumination,06Qha323s06okpZ4LmMX7P,0.8640000000000001,0.0978,0.85,0.53,153.314,indie rock
288,Franz Ferdinand,No You Girls,37CBHPCzV1rizPrxRUyR72,0.909,0.00915,0.899,0.679,104.781,indie rock
289,Halsey,Strange Love,6zQq3TrWnilO8SR1fgvTeD,0.8490000000000001,0.00212,0.599,0.605,89.993,pop
292,Joy Division,I Remember Nothing,2DupCOA5GmL7xqhbGBYWiS,0.42100000000000004,0.0548,0.302,0.39799999999999996,144.708,post-punk
293,Kingston Wall,Time,7eGJgvdrTtu3IPadB7jvWM,0.5720000000000001,4.92e-05,0.507,0.489,80.285,Progressive rock
294,Linkin Park,Papercut,1Vej0qeQ3ioKwpI6FUbRv1,0.9390000000000001,0.00022,0.6609999999999999,0.524,150.184,Nu Metal
295,Maroon 5,This Love,6ECp64rv50XVz93WvxXMGF,0.862,0.0525,0.809,0.7120000000000001,95.051,pop
296,Nelly Furtado,Say It Right,5AtFypwxB2ShXSxNj12dEd,0.8690000000000001,0.0409,0.8340000000000001,0.871,116.95,pop
297,Nick Drake,Day Is Done,66790TBuwlIrGxWWTVc6yl,0.298,0.603,0.457,0.48700000000000004,124.33200000000001,folk
298,Pixies,La La Love You,0MmPMrHMVmxEzsJMPd3yTh,0.615,0.35600000000000004,0.826,0.597,125.031,alternative
299,Portishead,Wandering Star,7h14W1uQK7sjpVI1oVTobt,0.37,0.504,0.7070000000000001,0.639,80.152,trip-hop
300,Queen,Another One Bites the Dust,57JVGBtBLCfHw2muk5416J,0.528,0.11199999999999999,0.7559999999999999,0.9329999999999999,109.975,classic rock
301,Radiohead,Reckoner,02ppMPbg1OtEdHgoPqoqju,0.6559999999999999,0.511,0.214,0.523,104.271,alternative
302,Rage Against the Machine,Bombtrack,2rBHnIxbhkMGLpqmsNX91M,0.9259999999999999,0.0239,0.569,0.45899999999999996,151.534,rock
303,Slowdive,Avalyn I,7eA6LDdLF7Tnw8cBDxSu0Y,0.455,0.0698,0.0496,0.0808,81.392,british i like
304,Soundgarden,Fell on Black Days,1wlKw9NAWVWpx7OIAyg9EA,0.7390000000000001,0.0015199999999999999,0.514,0.574,101.069,Grunge
305,Soundgarden,The Day I Tried to Live,78YJJJH55MSyk7547100sW,0.752,0.000164,0.305,0.47200000000000003,133.248,Grunge
307,Styx,Suite Madam Blue,1gufwupdoA0lqEgg66JUPD,0.43799999999999994,0.0769,0.215,0.18899999999999997,158.14600000000002,classic rock
311,Talking Heads,Happy Day,7ep7F087jSsCVNaeDyT1HB,0.5539999999999999,0.36700000000000005,0.762,0.7509999999999999,112.635,new wave
312,Talking Heads,Mind,03HUTPHpK8CJkBlIXTNvVL,0.88,0.271,0.976,0.75,127.98100000000001,new wave
313,Talking Heads,Moon Rocks,1jDit1o3MxkQxFDVNdYX9v,0.6559999999999999,0.0572,0.9470000000000001,0.867,123.654,new wave
314,Talking Heads,Paper,3kfsFQhrPxNKmZLgm26u0U,0.713,0.0327,0.68,0.428,117.756,new wave
316,The Beatles,Polythene Pam,1FTCA6wQwulQFokDddKE68,0.9390000000000001,0.00472,0.499,0.474,166.829,rock
317,The Beatles,She Came in Through the Bathroom Window,2jtUGFsqanQ82zqDlhiKIp,0.72,0.0037600000000000003,0.69,0.53,80.652,rock
318,The Beatles,With a Little Help from My Friends,2RnPATK99oGOZygnD2GTO6,0.515,0.365,0.8029999999999999,0.705,112.035,classic rock
319,The Growlers,Big Toe,3h86qHJ0OhMgVhm0GnJHiw,0.77,0.0107,0.693,0.513,132.115,Psychedelic Rock
320,The Growlers,Good Advice,4XXcAKZbyldNgIMh2sQXOZ,0.823,1.17e-05,0.627,0.44799999999999995,137.02,somafm
321,The Jesus and Mary Chain,Darklands,7r1i1TZUGZQDxR5QHX4Mmx,0.777,0.00294,0.48700000000000004,0.57,107.98200000000001,post-punk
323,The Psychedelic Furs,All Of This And Nothing,4VfCtS5stiDTPjI7RYEKQC,0.716,0.000361,0.7959999999999999,0.45399999999999996,119.84299999999999,new wave
325,The Velvet Underground,Rock & Roll,1o6DclZHw0HomxXEQR1ijX,0.735,0.0040100000000000005,0.742,0.494,132.526,rock
326,Wire,Practice Makes Perfect,2vYcX70M5Vx8YMohXFwshw,0.5770000000000001,0.7809999999999999,0.092,0.5489999999999999,105.917,post-punk
327,Wire,Reuters,0T3uPDgL6iErias0LLfJIE,0.618,0.16,0.129,0.531,111.83,post-punk
328,Audioslave,Be Yourself,3zwmW1gM4E8FlHXV5nE16u,0.845,0.14300000000000002,0.317,0.423,116.602,rock
329,Billie Eilish,bellyache,51NFxnQvaosfDDutk0tams,0.573,0.46,0.408,0.695,99.939,pop
330,Blondie,Rapture,6F2vo4sxRNQ58VYe3pdiaL,0.7040000000000001,0.113,0.96,0.7240000000000001,107.486,80s
331,Breaking Benjamin,Give Me A Sign,6BWrIaoodtt7EX6kToWZw0,0.85,0.00033999999999999997,0.4,0.196,156.725,alternative rock
332,Britney Spears,Circus,7jk7gqyEonmVVYahZN5zhW,0.733,0.147,0.7609999999999999,0.7909999999999999,114.98,pop
333,Clean Bandit,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,0.636,0.0441,0.565,0.737,105.005,dance
334,Cocteau Twins,In Our Angelhood,4MaTOuX0QlD6Tla2ig7X80,0.9620000000000001,3.89e-06,0.0333,0.311,151.142,shoegaze
335,Creedence Clearwater Revival,Have You Ever Seen the Rain,5DnT9a5IM3eMjKgXTWVJvi,0.47,0.0936,0.89,0.743,116.12200000000001,classic rock
336,Depeche Mode,Freestate,4vlCqX4VDy8VkxfrkL23K1,0.767,0.701,0.46,0.62,95.036,electronic
337,Depeche Mode,Sister of Night,0FFu40edk0VCjrsfLWZjcO,0.7909999999999999,0.768,0.36700000000000005,0.5670000000000001,90.06200000000001,synthpop
338,Depeche Mode,The Sun And The Rainfall,76yfcXu9VCEpAQLIa38dJ3,0.993,0.23600000000000002,0.856,0.784,118.139,new wave
339,Doja Cat,Say So,3Dv1eDb0MEgF93GpLXlucZ,0.6729999999999999,0.256,0.7859999999999999,0.787,110.962,pop
340,Echo & the Bunnymen,The Back of Love,6C7IqRhtNqn1pAdzEqaJrV,0.915,0.218,0.59,0.365,154.983,post-punk
341,Gorillaz,Kids With Guns,0eEgMbSzOHmkOeVuNC3E0k,0.475,0.000417,0.711,0.838,106.21700000000001,alternative
343,Katy Perry,I Kissed a Girl,005lwxGU1tms6HGELIcUv9,0.76,0.00223,0.696,0.6990000000000001,129.996,pop
344,Linkin Park,Faint,4Yf5bqU3NK4kNOypcrLYwU,0.978,0.111,0.594,0.5539999999999999,135.095,rock
345,Linkin Park,Figure.09,3yE7LC2ZyNWsLRSXHb0J06,0.951,0.00919,0.537,0.518,98.068,Nu Metal
346,Linkin Park,Somewhere I Belong,3agtg0x11wPvLIWkYR39nZ,0.951,0.00037999999999999997,0.442,0.451,162.065,rock
347,Linkin Park,With You,5uuXtfqM7Wp3idCxyHeOll,0.978,0.0037,0.359,0.42100000000000004,196.921,Nu Metal
348,Metallica,For Whom the Bell Tolls,51YZAJhOwIC5Gg3jMbAmhZ,0.86,0.0063100000000000005,0.258,0.512,117.90899999999999,thrash metal
349,Neil Young,On the Beach,1Y8L4hT9CDJH6ROK2XGxgO,0.311,0.5660000000000001,0.40399999999999997,0.6829999999999999,116.958,rock
350,Oasis,Slide Away,1AvavliFQoc2l0ZCCWa5VG,0.943,0.00011399999999999999,0.264,0.0657,190.555,britpop
351,Radiohead,Creep,70LcF31zb1H0PyJoS1Sx1r,0.43,0.0097,0.10400000000000001,0.515,91.844,alternative
352,Simon & Garfunkel,Baby Driver,5Bh8l8evdBSIoaK6EP1bWI,0.68,0.37799999999999995,0.75,0.445,163.664,folk
353,Slowdive,Avalyn II,2Ue894AYFKuHXCXbosikTS,0.5660000000000001,0.00133,0.0392,0.106,82.54799999999999,shoegaze
354,Talking Heads,Memories Can't Wait,6ZkdsPHBRDlzK5VjWDgByG,0.521,0.00268,0.5379999999999999,0.261,183.18099999999998,new wave
355,Talking Heads,Psycho Killer - 2005 Remaster,1i6N76fftMZhijOzFQ5ZtL,0.521,0.0707,0.9420000000000001,0.721,123.118,banned
356,Talking Heads,The Overload,4627xzFkr4qymUx03um6FX,0.39,0.6709999999999999,0.0384,0.42,91.104,new wave
357,Tame Impala,Keep On Lying,2UYHP0RQqPFvue0Ygs5Amm,0.8140000000000001,0.0783,0.6579999999999999,0.485,123.99700000000001,Psychedelic Rock
358,The Cure,A Short Term Effect,4GiVSZ0UcbW0vzVMLnBdDT,0.836,0.0017100000000000001,0.649,0.516,116.566,new wave
359,The Cure,Primary,6nm0hSPGUOJGSBcLeDlgFT,0.89,0.0185,0.898,0.496,171.442,new wave
360,The Cure,Secrets,55oC4vGPFA0QBBooQ2NHHl,0.348,0.0664,0.7809999999999999,0.85,140.149,post-punk
361,The Eagles,Witchy Woman,5FcpJxKATnCv9aEaBtue3f,0.821,0.0734,0.7340000000000001,0.593,99.666,rock
362,The Growlers,Monotonia,58uDCyprC3aa3x70fUv8dk,0.802,0.509,0.7559999999999999,0.61,122.071,vics
